id,title,artist,color,spotify_uri,youtube_id
1,Dina färger var blå,Tommy Nilsson,Blue,2eIe720mhOM77Gfa6I4Url,2DWUpLh9AbQ
2,"Blå, blå känslor (1997)",Tomas Ledin,Blue,4fd6GUvDkZNAc4IsRqqS8X,9LH-kXNd20I
3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Blue,2yAVzRiEQooPEJ9SYx11L3,NrVqLGQlieA
4,Little Blue (feat. Brandi Carlile),"Jacob Collier, Brandi Carlile",Blue,0HWWt7Nv69TSuaVc5Woy7O,UI2McY7YRBM
5,(Don't Fear) The Reaper,Blue Öyster Cult,Blue,5QTxFnGygVM4jFQiBovmRo,FS8p_F0Stog
6,Blue Suede Shoes,Elvis Presley,Blue,47gmoUrZV3w20JAnQOZMcO,0qz4sTM9XkM
7,Till mitt eget Blue Hawaii,Vikingarna,Blue,3uhCIA0xy4qTUHrWVA55bb,PIvSyap8kCE
8,Blueberry Hill,Fats Domino,Blue,06PdA0DLgF4BfAeUNZAbFG,IYRJC0_c8Wk
9,Yellow,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,9qnqYL0eNNI
10,Goodbye Yellow Brick Road - Remastered 2014,Elton John,Yellow,4IRHwIZHzlHT1FQpRa5RdE,wy709iNG6i8
11,Yellow Submarine,The Beatles,Yellow,1tdltVUBkiBCW1C3yB4zyD,j_JaDDcyIIU
12,Paranoid - 2009 Remaster,Black Sabbath,Black,3Jnxngdff0lVu2rza1GVx6,m7nwbJLO9qo
13,I Gotta Feeling,Black Eyed Peas,Black,4kLLWz7srcuLKA7Et40PQR,OIPmhkzN2ug
14,Peaches,Jack Black,Black,4w9soAM7IrmYDhSXLp14p6,vLn9zVJCu18
15,Black Velvet,Alannah Myles,Black,1KU5EHSz04JhGg3rReGJ0N,ZHHEmd5mECY
16,Black Betty,Ram Jam,Black,6kooDsorCpWVMGc994XjWN,wWk-uDrGxL0
17,Black Hole Sun,Soundgarden,Black,2EoOZnxNgtmZaD8uUmz2nD,9kIv6vVRKpw
18,Blackwater Park,Opeth,Black,7IDQX9EUgMNQTgYcZSpO1d,ngdaa4aZLgA
19,Blackbird - Remastered 2009,The Beatles,Black,5jgFfDIR6FR0gvlA56Nakr,Man4Xw8Xypo
20,Black or White,Michael Jackson,Black;White,7EsjkelQuoUlJXEw7SeVV4,m-y_IxPcx8U
21,Typa Girl,BLACKPINK,Black;Pink,0L8LOav65XwLjCLS11gNPD,oMsizmQ9l5c
22,Inget stoppar oss nu,BlackJack,Black,1uINDFsUumg9C2Ob5dgi0v,_bgSgaWe9zY
23,Welcome to the Black Parade,My Chemical Romance,Black,5wQnmLuC1W7ATsArWACrgW,v_uncMEJkBc
24,Back To Black,Amy Winehouse,Black,2s4BsyV3KhhrtsdtNfzoqb,rbBbQ-jldvQ
25,Black Car,Miriam Bryant,Black,4j6xtutAW62JXJemFchwyG,BWtwY2x2xvY
26,Back In Black,AC/DC,Black,08mG3Y1vljYA6bvDt4Wqkj,9vWNauaZAgg
27,Black Magic Woman,Santana,Black,4nmne9J3YCEdhvjTzwiAgu,FF1gbewg6Y4
28,Black and Yellow,Wiz Khalifa,Black;Yellow,5A6OHHy73AR5tLxgTc98zz,O7_hvm34Obo
29,"Paint It, Black",The Rolling Stones,Black,63T7DJ1AFDD6Bn8VzG6JE8,170sceOWWXc
30,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Black,6MdqqkQ8sSC0WB4i8PyRuQ,Fiu9h8ZTPoQ
31,Supermassive Black Hole,Muse,Black,3lPr8ghNDBLc2uZovNyLs9,N-_mHedypEU
32,Sista dansen,BlackJack,Black,1CvNw7j3i5Ir6IYRAOENkn,DHGMOUUx6RA
33,So What,P!nk,Pink,0JiY190vktuhSGN6aqJdrt,xjqSeSCdq4w
34,Pink,Lizzo,Pink,2YXGbxICUdOUJe9OPlicy1,0SXSm0w-6mg
35,Comfortably Numb - 2011 Remastered Version,Pink Floyd,Pink,7Fg4jpwpkdkGCvq1rrXnvx,Pkknvpvbl-4
36,If You Don't Know Me by Now - 2008 Remaster,Simply Red,Red,7DFawVSjI88xR9mjnWwURg,eecrUUOiEwg
37,Red Red Wine,UB40,Red,4uOKFydzAejjSFqYbv1XPt,UidFA-dP8GQ
38,Redbone,Childish Gambino,Red,0WtDGnWL2KrMCk0mI1Gpwz,k49I5m1J6Is
39,Cotton Eye Joe,Rednex,Red,06hsdMbBxWGqBO0TV0Zrkf,HAlspX_kjL4
40,Red,Taylor Swift,Red,7gJtmLyPTwKzhGzMBXtuXH,fnI07MzNWzA
41,Red Baron,Billy Cobham,Red,6ipO2COc25UhJu9tKCkNsd,ptsgQ1uYqkA
42,(Sittin' On) the Dock of the Bay,Otis Redding,Red,3zBhihYUHBmGd2bcQIobrF,Zu5chXCp1Ag
43,Redemption Song,Bob Marley & The Wailers,Red,26PwuMotZqcczKLHi4Htz3,1A95dcLxAuA
44,The Lady In Red,Chris de Burgh,Red,1GeNWyZtCHbcp3ZWp8GTOO,9HMDUtirtJM
45,Rudolph The Red-Nosed Reindeer,Dean Martin,Red,2L9QLAhrvtP4EYg1lY0Tnw,bFCA0NWgqSQ
46,Seven Nation Army,The White Stripes,White,3dPQuX8Gs42Y7b454ybpMR,D_QLxj8jCF0
47,Here I Go Again,Whitesnake,White,1tQ5TSr1tyeQUbHKBee0jv,0ly5yQv11S4
48,"Can't Get Enough Of Your Love, Babe",Barry White,White,3mWpUEBYnv9SIFWfixSJFx,fPMoLEjM_K4
49,White Wedding,Billy Idol,White,0bvpSvOYt4KTfZIZJmyFOs,T0nsabCHj14
50,A Whiter Shade of Pale - Original Single Version,Procol Harum,White,7DsQgIwg23u9gooCxkRTu3,hxa6GUIkNac
51,White Christmas,Bing Crosby,White,3hScEmuagcQ0TvoJa5oFyI,Rh9GpUZd_C8
52,White Horse,Chris Stapleton,White,7MSWxMumjz6lHj7oRApNbg,56Snhw2qMJ4
53,White Mustang,Lana Del Rey,White,6eygbzyL6hY8jFQTARDuo9,78bkjR4RWhY
54,"Bä, bä, vita lamm - Instrumental",James Hollingworth,White,3v1pYV1JqdCdL5f9yfOXCj,sK_GWFbfLMs
55,Rosen,Arne Qvick,Red,1TjPXkgQ2B9dW3z5nGSgeH,HwabIgC8lXo
56,Tiotusen röda rosor,Vikingarna,Red,0TpuC1OLNVUFFDmuOWRfKK,YXOBvGTpNOw
57,Tiotusen röda rosor,Thore Skogman,Red,3VWfkffSFXCdSKcw4kcgWi,Lq1TcVy2NFE
58,Ju Mer Dom Spottar,Kapten Röd,Red,3uVO0fpvKhuPCfGCAjJev0,9yr2urRJhVE
59,Röda trådens slut,Sven-Ingvars,Red,7swsCvMGRMgMFwG7aZGyvj,WuW-gUCGzO8
60,Rosanna,TOTO,Pink,37BTh5g05cxBIRYMbw8g2T,SGtVZgCYVgk
61,Rosa helikopter,Peaches,Pink,29agEtUmkPuI8H3tyQSC7v,VU5ZF3NyYF0
